r	c	score	cellTypeName_	cell_type
hs_92	mm_near-projecting glutamatergic cortical neuron	0.75	mm_near-projecting glutamatergic cortical neuron	['NP-CT-L6b Glut: L5 NP CTX Glut', 'NP-CT-L6b Glut: NP PPP Glut', 'NP-CT-L6b Glut: NP SUB Glut']
hs_214	mm_direct pathway medium spiny neuron	0.75	mm_direct pathway medium spiny neuron	['CNU-LGE GABA: STR D1 Gaba']
hs_258	mm_pvalb GABAergic cortical interneuron	0.75	mm_pvalb GABAergic cortical interneuron	['CTX-MGE GABA: Pvalb Gaba', 'OB-IMN GABA: OB-mi Frmd7 Gaba']
hs_279	mm_sncg GABAergic cortical interneuron	0.75	mm_sncg GABAergic cortical interneuron	['CTX-CGE GABA: Sncg Gaba']
hs_434	mm_GABAergic neuron	0.74	mm_GABAergic neuron	['CNU-HYa GABA: BST Tac2 Gaba', 'CNU-HYa GABA: BST-MPN Six3 Nrgn Gaba', 'CNU-HYa GABA: BST-SI-AAA Six3 Slc22a3 Gaba', 'CNU-HYa GABA: CEA-AAA-BST Six3 Sp9 Gaba', 'CNU-HYa GABA: CEA-BST Ebf1 Pdyn Gaba', 'CNU-HYa GABA: CEA-BST Gal Avp Gaba', 'CNU-HYa GABA: CEA-BST Rai14 Pdyn Crh Gaba', 'CNU-HYa GABA: CEA-BST Six3 Cyp26b1 Gaba', 'CNU-HYa GABA: MEA-BST Lhx6 Nfib Gaba', 'CNU-HYa GABA: MEA-BST Lhx6 Nr2e1 Gaba', 'CNU-HYa GABA: MEA-BST Lhx6 Sp9 Gaba', 'CNU-HYa GABA: MEA-BST Sox6 Gaba', 'CNU-HYa GABA: MPN-MPO-LPO Lhx6 Zfhx3 Gaba', 'CNU-HYa GABA: MPO-ADP Lhx8 Gaba', 'CNU-HYa GABA: NDB-SI-ant Prdm12 Gaba', 'CNU-HYa GABA: PVR Six3 Sox3 Gaba', 'CNU-HYa GABA: SI-MA-ACB Ebf1 Bnc2 Gaba', 'CNU-HYa GABA: SI-MPO-LPO Lhx8 Gaba', 'HY GABA: AHN Onecut3 Gaba', 'HY GABA: AHN-SBPV-PVHd Pdrm12 Gaba', 'HY GABA: ARH-PVp Tbx3 Gaba', 'HY GABA: DMH Hmx2 Gaba', 'HY GABA: DMH Prdm13 Gaba', 'HY GABA: DMH-LHA Gsx1 Gaba', 'HY GABA: LGv-ZI Otx2 Gaba', 'HY GABA: PVHd Gsc Gaba', 'HY GABA: PVHd-DMH Lhx6 Gaba', 'HY GABA: PVHd-SBPV Six3 Prox1 Gaba', 'HY GABA: PVpo-VMPO-MPN Hmx2 Gaba', 'HY GABA: RT-ZI Gnb3 Gaba', 'HY GABA: SBPV-PVa Six6 Satb2 Gaba', 'HY GABA: SCH Six6 Cdc14a Gaba', 'HY GABA: TMd-DMH Foxd2 Gaba', 'HY GABA: TU-ARH Otp Six6 Gaba', 'HY GABA: ZI Pax6 Gaba', 'LSX GABA: LSX Nkx2-1 Gaba', 'LSX GABA: LSX Otx2 Gaba', 'LSX GABA: LSX Prdm12 Slit2 Gaba', 'LSX GABA: LSX Prdm12 Zeb2 Gaba', 'LSX GABA: LSX Sall3 Lmo1 Gaba', 'LSX GABA: LSX Sall3 Pax6 Gaba', 'MB GABA: IC Six3 En2 Gaba', 'MB GABA: IPN Otp Crisp1 Gaba', 'MB GABA: LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba', 'MB GABA: MRN-PPN-CUN Pax8 Gaba', 'MB GABA: MRN-VTN-PPN Pax5 Cdh23 Gaba', 'MB GABA: PAG-MRN Rln3 Gaba', 'MB GABA: PAG-MRN-RN Foxa2 Gaba', 'MB GABA: PAG-ND-PCG Onecut1 Gaba', 'MB GABA: PAG-PPN Pax5 Sox21 Gaba', 'MB GABA: PAG-RN Nkx2-2 Otx1 Gaba', 'MB GABA: PPN-CUN-PCG Otp En1 Gaba', 'MB GABA: PRT Mecom Gaba', 'MB GABA: PRT Tcf7l2 Gaba', 'MB GABA: SC Lef1 Otx2 Gaba', 'MB GABA: SC Otx2 Gcnt4 Gaba', 'MB GABA: SC Tnnt1 Gli3 Gaba', 'MB GABA: SC-PAG Lef1 Emx2 Gaba', 'MB GABA: SCm-PAG Cdh23 Gaba', 'MB GABA: SCs Dmbx1 Gaba', 'MB GABA: SCs Lef1 Gli3 Gaba', 'MB GABA: SCs Pax7 Nfia Gaba', 'MB GABA: SCsg Gabrr2 Gaba', 'MB GABA: SNr Six3 Gaba', 'MB GABA: SNr-VTA Pax5 Npas1 Gaba', 'MY GABA: CBN Dmbx1 Gaba', 'P GABA: CS-PRNr-DR En1 Sox2 Gaba', 'P GABA: CS-PRNr-PCG Tmem163 Otp Gaba', 'P GABA: CS-RPO Meis2 Gaba', 'P GABA: DTN-LDT-IPN Otp Pax3 Gaba', 'P GABA: LDT Fgf7 Gaba', 'P GABA: LDT-DTN Gata3 Nfix Gaba', 'P GABA: LDT-PCG St18 Gaba', 'P GABA: LDT-PCG-CS Gata3 Lhx1 Gaba', 'P GABA: NI-RPO Gata3 Nr4a2 Gaba', 'P GABA: NLL-po Pax7 Gaba', 'P GABA: PDTg Otp Olig3 Gaba', 'P GABA: PDTg Otp Shroom3 Gaba', 'P GABA: PDTg-PCG Pax6 Gaba']
hs_134	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.74	mm_L4/5 intratelencephalic projecting glutamatergic neuron	['IT-ET Glut: L4/5 IT CTX Glut']
hs_431	mm_glutamatergic neuron	0.74	mm_glutamatergic neuron	['CNU-HYa Glut: ADP-MPO Trp73 Glut', 'CNU-HYa Glut: AVPV-MEPO-SFO Tbr1 Glut', 'CNU-HYa Glut: BST-po Iigp1 Glut', 'CNU-HYa Glut: LHA Barhl2 Glut', 'CNU-HYa Glut: LHA-MEA Otp Glut', 'CNU-HYa Glut: MEA-BST Otp Zic2 Glut', 'CNU-HYa Glut: MS-SF Bsx Glut', 'CNU-HYa Glut: SI-MA-LPO-LHA Skor1 Glut', 'CNU-HYa Glut: TRS-BAC Sln Glut', 'HY Glut: AHN-RCH-LHA Otp Fezf1 Glut', 'HY Glut: ARH-PVp Tbx3 Glut', 'HY Glut: DMH Hmx2 Glut', 'HY Glut: DMH Nkx2-4 Glut', 'HY Glut: DMH-LHA Vgll2 Glut', 'HY Glut: LHA Pmch Glut', 'HY Glut: LHA-AHN-PVH Otp Trh Glut', 'HY Glut: MPN-MPO-PVpo Hmx2 Glut', 'HY Glut: PH Pitx2 Glut', 'HY Glut: PH-LHA Foxb1 Glut', 'HY Glut: PH-SUM Foxa1 Glut', 'HY Glut: PH-an Pitx2 Glut', 'HY Glut: PH-ant-LHA Otp Bsx Glut', 'HY Glut: PMd-LHA Foxb1 Glut', 'HY Glut: PMv-TMv Pitx2 Glut', 'HY Glut: PVH-SO-PVa Otp Glut', 'HY Glut: STN-PSTN Pitx2 Glut', 'HY Glut: VMH Fezf1 Glut', 'HY Glut: VMH Nr5a1 Glut', 'IT-ET Glut: CLA-EPd-CTX Car3 Glut', 'IT-ET Glut: ENTmv-PA-COAp Glut', 'IT-ET Glut: L4 RSP-ACA Glut', 'IT-ET Glut: L5 PPP Glut', 'IT-ET Glut: NLOT Rho Glut', 'IT-ET Glut: SUB-ProS Glut', 'MB Glut: APN C1ql2 Glut', 'MB Glut: APN C1ql4 Glut', 'MB Glut: CUN Evx2 Lhx2 Glut', 'MB Glut: CUN-PPN Evx2 Meis2 Glut', 'MB Glut: IC Tfap2d Maf Glut', 'MB Glut: IF-RL-CLI-PAG Foxa1 Glut', 'MB Glut: MB-ant-ve Dmrta2 Glut', 'MB Glut: MEV Ppp1r1c Glut', 'MB Glut: MRN Pou3f1 C1ql4 Glut', 'MB Glut: MRN-PAG Nkx6-1 Glut', 'MB Glut: ND-INC Foxd2 Glut', 'MB Glut: PAG Pou4f1 Bnc2 Glut', 'MB Glut: PAG Pou4f1 Ebf2 Glut', 'MB Glut: PAG Pou4f2 Glut', 'MB Glut: PAG Pou4f2 Mesi2 Glut', 'MB Glut: PAG Pou4f3 Glut', 'MB Glut: PAG Tcf24 Glut', 'MB Glut: PAG Ucn Glut', 'MB Glut: PAG-MRN Pou3f1 Glut', 'MB Glut: PAG-MRN Tfap2b Glut', 'MB Glut: PAG-SC Neurod2 Meis2 Glut', 'MB Glut: PAG-SC Pou4f1 Zic1 Glut', 'MB Glut: PRC-PAG Pax6 Glut', 'MB Glut: PRC-PAG Tcf7l2 Irx2 Glut', 'MB Glut: RN Spp1 Glut', 'MB Glut: SC Bnc2 Glut', 'MB Glut: SCdg-PAG Tfap2b Glut', 'MB Glut: SCig Foxb1 Glut', 'MB Glut: SCig Foxb1 Otx2 Glut', 'MB Glut: SCig Tfap2b Chrnb3 Glut', 'MB Glut: SCig-an-PPT Foxb1 Glut', 'MB Glut: SCiw Pitx2 Glut', 'MB Glut: SCop Pou4f2 Neurod2 Glut', 'MB Glut: SCop Sln Glut', 'MB Glut: SCsg Pde5a Glut', 'MB Glut: SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut', 'MH-LH Glut: LH Pou4f1 Sox1 Glut', 'MH-LH Glut: MH Tac2 Glut', 'MY Glut: CU-ECU-SPVI Foxb1 Glut', 'MY Glut: IO Fgl2 Glut', 'MY Glut: IRN Vip Glut', 'MY Glut: MARN-GRN Pyy Glut', 'MY Glut: MDRNd Bves Glut', 'MY Glut: MDRNv Crp Glut', 'MY Glut: MDRNv Lhx4 Qrfprl Glut', 'MY Glut: MV-SPIV Phox2b Ebf3 Lbx1 Glut', 'MY Glut: MV-SPIV Slc6a2 Glut', 'MY Glut: MV-SPIV Zic4 Neurod2 Glut', 'MY Glut: NTS Aldh1a2 Glut', 'MY Glut: NTS Dbh Glut', 'MY Glut: NTS Mbnl3 Glut', 'MY Glut: NTS Phox2b Glut', 'MY Glut: PGRN-PARN-MDRN Hoxb5 Glut', 'MY Glut: PGRNd Dmbx1 Glut', 'MY Glut: PRP-NI-PRNc-GRN Otp Glut', 'MY Glut: SPVC Ccdc172 Glut', 'MY Glut: SPVC Mafa Glut', 'MY Glut: SPVC Nmu Glut', 'MY Glut: SPVI-SPVC Tlx3 Ebf3 Glut', 'MY Glut: SPVO Mafa Meis2 Glut', 'MY Glut: VCO Mafa Meis2 Glut', 'P Glut: B-PB Nr4a2 Glut', 'P Glut: IPN-LDT Vsx2 Nkx6-1 Glut', 'P Glut: LDT Vsx2 Nkx6-1 Nfib Glut', 'P Glut: LDT-PCG Vsx2 Lhx4 Glut', 'P Glut: NLL-SOC Spp1 Glut', 'P Glut: PB Evx2 Glut', 'P Glut: PB Lmx1a Glut', 'P Glut: PB Pax5 Glut', 'P Glut: PB-NTS Phox2b Ebf3 Lmx1b Glut', 'P Glut: PB-PSV Phox2b Glut', 'P Glut: PB-SUT Tlx3 Lhx2 Glut', 'P Glut: PCG-PRNr Vsx2 Nkx6-1 Glut', 'P Glut: PG-TRN-LRN Fat2 Glut', 'P Glut: PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut', 'P Glut: PRNc-PARN Tlx1 Glut', 'P Glut: PRNr Otp Nfib Glut', 'P Glut: PSV Lmx1a Trpv6 Glut', 'P Glut: PSV Pvalb Lhx2 Glut']
hs_410	mm_glutamatergic neuron	0.74	mm_glutamatergic neuron	['CNU-HYa Glut: ADP-MPO Trp73 Glut', 'CNU-HYa Glut: AVPV-MEPO-SFO Tbr1 Glut', 'CNU-HYa Glut: BST-po Iigp1 Glut', 'CNU-HYa Glut: LHA Barhl2 Glut', 'CNU-HYa Glut: LHA-MEA Otp Glut', 'CNU-HYa Glut: MEA-BST Otp Zic2 Glut', 'CNU-HYa Glut: MS-SF Bsx Glut', 'CNU-HYa Glut: SI-MA-LPO-LHA Skor1 Glut', 'CNU-HYa Glut: TRS-BAC Sln Glut', 'HY Glut: AHN-RCH-LHA Otp Fezf1 Glut', 'HY Glut: ARH-PVp Tbx3 Glut', 'HY Glut: DMH Hmx2 Glut', 'HY Glut: DMH Nkx2-4 Glut', 'HY Glut: DMH-LHA Vgll2 Glut', 'HY Glut: LHA Pmch Glut', 'HY Glut: LHA-AHN-PVH Otp Trh Glut', 'HY Glut: MPN-MPO-PVpo Hmx2 Glut', 'HY Glut: PH Pitx2 Glut', 'HY Glut: PH-LHA Foxb1 Glut', 'HY Glut: PH-SUM Foxa1 Glut', 'HY Glut: PH-an Pitx2 Glut', 'HY Glut: PH-ant-LHA Otp Bsx Glut', 'HY Glut: PMd-LHA Foxb1 Glut', 'HY Glut: PMv-TMv Pitx2 Glut', 'HY Glut: PVH-SO-PVa Otp Glut', 'HY Glut: STN-PSTN Pitx2 Glut', 'HY Glut: VMH Fezf1 Glut', 'HY Glut: VMH Nr5a1 Glut', 'IT-ET Glut: CLA-EPd-CTX Car3 Glut', 'IT-ET Glut: ENTmv-PA-COAp Glut', 'IT-ET Glut: L4 RSP-ACA Glut', 'IT-ET Glut: L5 PPP Glut', 'IT-ET Glut: NLOT Rho Glut', 'IT-ET Glut: SUB-ProS Glut', 'MB Glut: APN C1ql2 Glut', 'MB Glut: APN C1ql4 Glut', 'MB Glut: CUN Evx2 Lhx2 Glut', 'MB Glut: CUN-PPN Evx2 Meis2 Glut', 'MB Glut: IC Tfap2d Maf Glut', 'MB Glut: IF-RL-CLI-PAG Foxa1 Glut', 'MB Glut: MB-ant-ve Dmrta2 Glut', 'MB Glut: MEV Ppp1r1c Glut', 'MB Glut: MRN Pou3f1 C1ql4 Glut', 'MB Glut: MRN-PAG Nkx6-1 Glut', 'MB Glut: ND-INC Foxd2 Glut', 'MB Glut: PAG Pou4f1 Bnc2 Glut', 'MB Glut: PAG Pou4f1 Ebf2 Glut', 'MB Glut: PAG Pou4f2 Glut', 'MB Glut: PAG Pou4f2 Mesi2 Glut', 'MB Glut: PAG Pou4f3 Glut', 'MB Glut: PAG Tcf24 Glut', 'MB Glut: PAG Ucn Glut', 'MB Glut: PAG-MRN Pou3f1 Glut', 'MB Glut: PAG-MRN Tfap2b Glut', 'MB Glut: PAG-SC Neurod2 Meis2 Glut', 'MB Glut: PAG-SC Pou4f1 Zic1 Glut', 'MB Glut: PRC-PAG Pax6 Glut', 'MB Glut: PRC-PAG Tcf7l2 Irx2 Glut', 'MB Glut: RN Spp1 Glut', 'MB Glut: SC Bnc2 Glut', 'MB Glut: SCdg-PAG Tfap2b Glut', 'MB Glut: SCig Foxb1 Glut', 'MB Glut: SCig Foxb1 Otx2 Glut', 'MB Glut: SCig Tfap2b Chrnb3 Glut', 'MB Glut: SCig-an-PPT Foxb1 Glut', 'MB Glut: SCiw Pitx2 Glut', 'MB Glut: SCop Pou4f2 Neurod2 Glut', 'MB Glut: SCop Sln Glut', 'MB Glut: SCsg Pde5a Glut', 'MB Glut: SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut', 'MH-LH Glut: LH Pou4f1 Sox1 Glut', 'MH-LH Glut: MH Tac2 Glut', 'MY Glut: CU-ECU-SPVI Foxb1 Glut', 'MY Glut: IO Fgl2 Glut', 'MY Glut: IRN Vip Glut', 'MY Glut: MARN-GRN Pyy Glut', 'MY Glut: MDRNd Bves Glut', 'MY Glut: MDRNv Crp Glut', 'MY Glut: MDRNv Lhx4 Qrfprl Glut', 'MY Glut: MV-SPIV Phox2b Ebf3 Lbx1 Glut', 'MY Glut: MV-SPIV Slc6a2 Glut', 'MY Glut: MV-SPIV Zic4 Neurod2 Glut', 'MY Glut: NTS Aldh1a2 Glut', 'MY Glut: NTS Dbh Glut', 'MY Glut: NTS Mbnl3 Glut', 'MY Glut: NTS Phox2b Glut', 'MY Glut: PGRN-PARN-MDRN Hoxb5 Glut', 'MY Glut: PGRNd Dmbx1 Glut', 'MY Glut: PRP-NI-PRNc-GRN Otp Glut', 'MY Glut: SPVC Ccdc172 Glut', 'MY Glut: SPVC Mafa Glut', 'MY Glut: SPVC Nmu Glut', 'MY Glut: SPVI-SPVC Tlx3 Ebf3 Glut', 'MY Glut: SPVO Mafa Meis2 Glut', 'MY Glut: VCO Mafa Meis2 Glut', 'P Glut: B-PB Nr4a2 Glut', 'P Glut: IPN-LDT Vsx2 Nkx6-1 Glut', 'P Glut: LDT Vsx2 Nkx6-1 Nfib Glut', 'P Glut: LDT-PCG Vsx2 Lhx4 Glut', 'P Glut: NLL-SOC Spp1 Glut', 'P Glut: PB Evx2 Glut', 'P Glut: PB Lmx1a Glut', 'P Glut: PB Pax5 Glut', 'P Glut: PB-NTS Phox2b Ebf3 Lmx1b Glut', 'P Glut: PB-PSV Phox2b Glut', 'P Glut: PB-SUT Tlx3 Lhx2 Glut', 'P Glut: PCG-PRNr Vsx2 Nkx6-1 Glut', 'P Glut: PG-TRN-LRN Fat2 Glut', 'P Glut: PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut', 'P Glut: PRNc-PARN Tlx1 Glut', 'P Glut: PRNr Otp Nfib Glut', 'P Glut: PSV Lmx1a Trpv6 Glut', 'P Glut: PSV Pvalb Lhx2 Glut']
hs_330	mm_mammillary body neuron	0.74	mm_mammillary body neuron	['HY MM Glut: MM Foxb1 Glut', 'HY MM Glut: MM-ant Foxb1 Glut']
hs_449	mm_thalamic excitatory neuron	0.73	mm_thalamic excitatory neuron	['TH Glut: AD Serpinb7 Glut', 'TH Glut: AV Col27a1 Glut', 'TH Glut: CM-IAD-CL-PCN Sema5b Glut', 'TH Glut: MG-POL-SGN Nts Glut', 'TH Glut: PF Fzd5 Glut', 'TH Glut: PVT-PT Ntrk1 Glut', 'TH Glut: RE-Xi Nox4 Glut', 'TH Glut: TH Prkcd Grin2c Glut']
hs_124	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.73	mm_L2/3 intratelencephalic projecting glutamatergic neuron	['IT-ET Glut: L2/3 IT CTX Glut', 'IT-ET Glut: L2/3 IT ENT Glut', 'IT-ET Glut: L2/3 IT PIR-ENTl Glut', 'IT-ET Glut: L2/3 IT PPP Glut', 'IT-ET Glut: L2/3 IT RSP Glut']
hs_295	mm_vip GABAergic cortical interneuron	0.73	mm_vip GABAergic cortical interneuron	['CTX-CGE GABA: Vip Gaba']
hs_263	mm_pvalb GABAergic cortical interneuron	0.73	mm_pvalb GABAergic cortical interneuron	['CTX-MGE GABA: Pvalb Gaba', 'OB-IMN GABA: OB-mi Frmd7 Gaba']
hs_108	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.73	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	['NP-CT-L6b Glut: L6 CT CTX Glut']
hs_363	mm_glutamatergic neuron	0.72	mm_glutamatergic neuron	['CNU-HYa Glut: ADP-MPO Trp73 Glut', 'CNU-HYa Glut: AVPV-MEPO-SFO Tbr1 Glut', 'CNU-HYa Glut: BST-po Iigp1 Glut', 'CNU-HYa Glut: LHA Barhl2 Glut', 'CNU-HYa Glut: LHA-MEA Otp Glut', 'CNU-HYa Glut: MEA-BST Otp Zic2 Glut', 'CNU-HYa Glut: MS-SF Bsx Glut', 'CNU-HYa Glut: SI-MA-LPO-LHA Skor1 Glut', 'CNU-HYa Glut: TRS-BAC Sln Glut', 'HY Glut: AHN-RCH-LHA Otp Fezf1 Glut', 'HY Glut: ARH-PVp Tbx3 Glut', 'HY Glut: DMH Hmx2 Glut', 'HY Glut: DMH Nkx2-4 Glut', 'HY Glut: DMH-LHA Vgll2 Glut', 'HY Glut: LHA Pmch Glut', 'HY Glut: LHA-AHN-PVH Otp Trh Glut', 'HY Glut: MPN-MPO-PVpo Hmx2 Glut', 'HY Glut: PH Pitx2 Glut', 'HY Glut: PH-LHA Foxb1 Glut', 'HY Glut: PH-SUM Foxa1 Glut', 'HY Glut: PH-an Pitx2 Glut', 'HY Glut: PH-ant-LHA Otp Bsx Glut', 'HY Glut: PMd-LHA Foxb1 Glut', 'HY Glut: PMv-TMv Pitx2 Glut', 'HY Glut: PVH-SO-PVa Otp Glut', 'HY Glut: STN-PSTN Pitx2 Glut', 'HY Glut: VMH Fezf1 Glut', 'HY Glut: VMH Nr5a1 Glut', 'IT-ET Glut: CLA-EPd-CTX Car3 Glut', 'IT-ET Glut: ENTmv-PA-COAp Glut', 'IT-ET Glut: L4 RSP-ACA Glut', 'IT-ET Glut: L5 PPP Glut', 'IT-ET Glut: NLOT Rho Glut', 'IT-ET Glut: SUB-ProS Glut', 'MB Glut: APN C1ql2 Glut', 'MB Glut: APN C1ql4 Glut', 'MB Glut: CUN Evx2 Lhx2 Glut', 'MB Glut: CUN-PPN Evx2 Meis2 Glut', 'MB Glut: IC Tfap2d Maf Glut', 'MB Glut: IF-RL-CLI-PAG Foxa1 Glut', 'MB Glut: MB-ant-ve Dmrta2 Glut', 'MB Glut: MEV Ppp1r1c Glut', 'MB Glut: MRN Pou3f1 C1ql4 Glut', 'MB Glut: MRN-PAG Nkx6-1 Glut', 'MB Glut: ND-INC Foxd2 Glut', 'MB Glut: PAG Pou4f1 Bnc2 Glut', 'MB Glut: PAG Pou4f1 Ebf2 Glut', 'MB Glut: PAG Pou4f2 Glut', 'MB Glut: PAG Pou4f2 Mesi2 Glut', 'MB Glut: PAG Pou4f3 Glut', 'MB Glut: PAG Tcf24 Glut', 'MB Glut: PAG Ucn Glut', 'MB Glut: PAG-MRN Pou3f1 Glut', 'MB Glut: PAG-MRN Tfap2b Glut', 'MB Glut: PAG-SC Neurod2 Meis2 Glut', 'MB Glut: PAG-SC Pou4f1 Zic1 Glut', 'MB Glut: PRC-PAG Pax6 Glut', 'MB Glut: PRC-PAG Tcf7l2 Irx2 Glut', 'MB Glut: RN Spp1 Glut', 'MB Glut: SC Bnc2 Glut', 'MB Glut: SCdg-PAG Tfap2b Glut', 'MB Glut: SCig Foxb1 Glut', 'MB Glut: SCig Foxb1 Otx2 Glut', 'MB Glut: SCig Tfap2b Chrnb3 Glut', 'MB Glut: SCig-an-PPT Foxb1 Glut', 'MB Glut: SCiw Pitx2 Glut', 'MB Glut: SCop Pou4f2 Neurod2 Glut', 'MB Glut: SCop Sln Glut', 'MB Glut: SCsg Pde5a Glut', 'MB Glut: SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut', 'MH-LH Glut: LH Pou4f1 Sox1 Glut', 'MH-LH Glut: MH Tac2 Glut', 'MY Glut: CU-ECU-SPVI Foxb1 Glut', 'MY Glut: IO Fgl2 Glut', 'MY Glut: IRN Vip Glut', 'MY Glut: MARN-GRN Pyy Glut', 'MY Glut: MDRNd Bves Glut', 'MY Glut: MDRNv Crp Glut', 'MY Glut: MDRNv Lhx4 Qrfprl Glut', 'MY Glut: MV-SPIV Phox2b Ebf3 Lbx1 Glut', 'MY Glut: MV-SPIV Slc6a2 Glut', 'MY Glut: MV-SPIV Zic4 Neurod2 Glut', 'MY Glut: NTS Aldh1a2 Glut', 'MY Glut: NTS Dbh Glut', 'MY Glut: NTS Mbnl3 Glut', 'MY Glut: NTS Phox2b Glut', 'MY Glut: PGRN-PARN-MDRN Hoxb5 Glut', 'MY Glut: PGRNd Dmbx1 Glut', 'MY Glut: PRP-NI-PRNc-GRN Otp Glut', 'MY Glut: SPVC Ccdc172 Glut', 'MY Glut: SPVC Mafa Glut', 'MY Glut: SPVC Nmu Glut', 'MY Glut: SPVI-SPVC Tlx3 Ebf3 Glut', 'MY Glut: SPVO Mafa Meis2 Glut', 'MY Glut: VCO Mafa Meis2 Glut', 'P Glut: B-PB Nr4a2 Glut', 'P Glut: IPN-LDT Vsx2 Nkx6-1 Glut', 'P Glut: LDT Vsx2 Nkx6-1 Nfib Glut', 'P Glut: LDT-PCG Vsx2 Lhx4 Glut', 'P Glut: NLL-SOC Spp1 Glut', 'P Glut: PB Evx2 Glut', 'P Glut: PB Lmx1a Glut', 'P Glut: PB Pax5 Glut', 'P Glut: PB-NTS Phox2b Ebf3 Lmx1b Glut', 'P Glut: PB-PSV Phox2b Glut', 'P Glut: PB-SUT Tlx3 Lhx2 Glut', 'P Glut: PCG-PRNr Vsx2 Nkx6-1 Glut', 'P Glut: PG-TRN-LRN Fat2 Glut', 'P Glut: PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut', 'P Glut: PRNc-PARN Tlx1 Glut', 'P Glut: PRNr Otp Nfib Glut', 'P Glut: PSV Lmx1a Trpv6 Glut', 'P Glut: PSV Pvalb Lhx2 Glut']
